State,County,Population_Diversity_Index,Black_pop_perc
OK,Oklahoma,60.5322,15.8
MN,Clearwater,25.2221,0.4
IA,Lucas,5.1089,0.2
MO,Jasper,26.3403,2.3
IL,Jackson,41.1708,14.8
NY,Tompkins,36.5934,4.4
IL,Massac,19.8294,5.7
TN,Meigs,10.0513,1.5
IL,Henderson,6.4611,0.4
IL,Calhoun,4.3378,0.3
GA,Clayton,50.011,67.8
IA,Marshall,40.1517,1.9
NE,Platte,29.9019,0.7
KY,Pendleton,5.6903,0.6
AR,Lee,53.3449,54.4
MD,Baltimore,55.2251,27.5
CA,Sacramento,68.7281,10.8
IL,Bureau,20.0393,0.8
WI,Rock,28.649,5.1
TX,Galveston,58.4602,13.7
TX,Hardeman,45.6357,6.3
MS,Greene,42.6515,27.1
MO,Marion,17.7551,5.2
WI,Iron,6.2691,0.2
AK,Bristol Bay Borough,64.8271,0
OK,McClain,35.0166,0.9
MO,Cass,20.5829,4
NY,Erie,38.5703,13.9
MO,Ozark,7.9764,0.3
MT,Petroleum,5.1088,0
NC,Yadkin,26.3472,3.4
GA,Douglas,59.7172,42.5
VA,Stafford,51.9308,17.8
PA,Crawford,9.1113,1.9
TN,Moore,11.3472,2.5
IN,Greene,5.8834,0.3
TX,Fisher,46.5557,3.8
IA,Audubon,4.92,0.4
ND,Bowman,12.6877,0.3
AR,Newton,10.5992,0.2
AZ,Yuma,51.2612,2.7
TX,McLennan,58.121,15
NY,Otsego,15.3416,2.1
NH,Rockingham,12.4535,0.9
IL,Richland,7.9862,0.6
MO,Greene,21.0068,3.2
OH,Ashland,7.6115,0.9
IA,Clarke,24.3451,0.8
OK,Washington,42.7552,2.7
TX,Tom Green,54.5529,4.7
OH,Scioto,12.2701,2.7
MS,Warren,53.4763,47.9
NE,Saline,41.1712,1.5
TN,Maury,34.174,12.3
MO,Madison,8.5481,0.5
MT,Musselshell,13.1595,0.5
CO,Yuma,36.1809,0.3
TX,Jack,35.684,4.2
CA,Tuolumne,31.9478,2.1
CA,Madera,55.2329,4
WV,Marshall,6.2707,0.7
MI,Huron,8.1665,0.5
MS,Clay,49.8807,58.8
NJ,Salem,39.7373,14.7
KY,Edmonson,8.1699,1.8
IA,Howard,6.2631,0.5
ND,Steele,6.0764,0.2
WV,Ritchie,4.3357,0.3
FL,DeSoto,58.3858,13.3
AL,Morgan,38.6647,12.4
ND,Adams,8.7482,0.7
SC,Saluda,57.1553,26.4
WI,St. Croix,10.43,0.7
WA,Grays Harbor,34.3143,1.3
NC,Davie,26.7249,6.5
PA,Monroe,48.208,14.8
WV,Putnam,8.1809,1.1
NY,Hamilton,7.9915,0.9
IA,Harrison,6.2643,0.3
IA,Sioux,21.0673,1
AR,Polk,20.4895,0.5
IA,Winneshiek,9.2939,0.8
FL,Washington,37.352,15.5
OK,Tillman,54.8564,8.5
TX,Ector,54.0002,4.8
NC,Buncombe,28.5672,6.5
IA,Winnebago,13.3204,1.3
VA,Chesapeake city,55.2588,30
UT,Piute,18.1427,0.2
GA,Decatur,55.6909,41.4
UT,Grand,29.0772,0.7
TX,Milam,51.7065,10.1
IA,Union,9.6683,1
KY,Casey,9.4595,0.7
NJ,Somerset,58.7819,9.8
ND,Wells,5.4973,0.2
CA,San Diego,65.0181,5.6
MN,Olmsted,31.5375,5.5
MS,Lee,46.585,28.6
TX,Hall,55.0134,7.8
SD,Lake,11.9148,1.1
MT,Toole,21.2449,0.7
KS,Ellis,17.3897,1
MI,Emmet,15.8674,0.6
TX,Mitchell,60.1006,12.8
NC,Pasquotank,55.4213,37.8
TX,Jones,55.1138,13
ME,Oxford,7.7963,0.4
PA,Armstrong,5.112,0.9
OH,Monroe,4.7225,0.5
OH,Muskingum,14.9461,3.9
TX,Washington,52.1163,18
NC,Madison,11.5282,1.6
AR,Sevier,54.1947,4.5
IA,Shelby,7.7837,0.5
MO,Pemiscot,44.9114,26.7
OH,Hocking,6.0775,0.6
VA,Dickenson,3.7544,0.4
VA,Greensville,50.6892,59.2
