Year,Age,Gender,Race,official_action,Victim_Criminal_Charges_Simplified,Shootings_manner_of_death,armed_simplified,Shootings_signs_of_mental_illness,Shootings_threat_level,Shootings_flee,Shootings_body_camera,Geography,Population,White_Percent,Black_Percent,Hispanic_Percent,Asian_Percent,Other_Percent,Firearm_per_10k,n,Crime_Index_10k,police_frac_total_expend,officers_per_10k_pop,density_p_mi2_2020,density_p_mi2_2017
2015,23,M,H,Pending,No Charges,shot,TRUE,FALSE,attack,Not fleeing,FALSE,Urban,38918045,37,5.5,39.1,14.4,0.4,96.78,190,NA,0.040001548,13.8,256.3727,253.7996328
2015,23,M,H,Pending,No Charges,shot,TRUE,FALSE,attack,Not fleeing,FALSE,Urban,38918045,37,5.5,39.1,14.4,0.4,96.78,190,NA,0.040001548,13.4,256.3727,253.7996328
2015,23,M,H,Pending,No Charges,shot,TRUE,FALSE,attack,Not fleeing,FALSE,Urban,38918045,37,5.5,39.1,14.4,0.4,96.78,190,NA,0.040001548,12.4,256.3727,253.7996328
2015,23,M,H,Pending,No Charges,shot,TRUE,FALSE,attack,Not fleeing,FALSE,Urban,38918045,37,5.5,39.1,14.4,0.4,96.78,190,NA,0.040001548,11.7,256.3727,253.7996328
2015,23,M,H,Pending,No Charges,shot,TRUE,FALSE,attack,Not fleeing,FALSE,Urban,38918045,37,5.5,39.1,14.4,0.4,96.78,190,NA,0.040001548,11.6,256.3727,253.7996328
2015,23,M,H,Pending,No Charges,shot,TRUE,FALSE,attack,Not fleeing,FALSE,Urban,38918045,37,5.5,39.1,14.4,0.4,96.78,190,NA,0.040001548,11.2,256.3727,253.7996328
2015,23,M,H,Pending,No Charges,shot,TRUE,FALSE,attack,Not fleeing,FALSE,Urban,38918045,37,5.5,39.1,14.4,0.4,96.78,190,NA,0.040001548,10.6,256.3727,253.7996328
2015,23,M,H,Pending,No Charges,shot,TRUE,FALSE,attack,Not fleeing,FALSE,Urban,38918045,37,5.5,39.1,14.4,0.4,96.78,190,NA,0.040001548,10.6,256.3727,253.7996328
2015,23,M,H,Pending,No Charges,shot,TRUE,FALSE,attack,Not fleeing,FALSE,Urban,38918045,37,5.5,39.1,14.4,0.4,96.78,190,NA,0.040001548,10,256.3727,253.7996328
2015,23,M,H,Pending,No Charges,shot,TRUE,FALSE,attack,Not fleeing,FALSE,Urban,38918045,37,5.5,39.1,14.4,0.4,96.78,190,NA,0.040001548,9.9,256.3727,253.7996328
2015,23,M,H,Pending,No Charges,shot,TRUE,FALSE,attack,Not fleeing,FALSE,Urban,38918045,37,5.5,39.1,14.4,0.4,96.78,190,NA,0.040001548,9.5,256.3727,253.7996328
2015,23,M,H,Pending,No Charges,shot,TRUE,FALSE,attack,Not fleeing,FALSE,Urban,38918045,37,5.5,39.1,14.4,0.4,96.78,190,NA,0.040001548,9.4,256.3727,253.7996328
2015,23,M,H,Pending,No Charges,shot,TRUE,FALSE,attack,Not fleeing,FALSE,Urban,38918045,37,5.5,39.1,14.4,0.4,96.78,190,NA,0.040001548,9.3,256.3727,253.7996328
2015,23,M,H,Pending,No Charges,shot,TRUE,FALSE,attack,Not fleeing,FALSE,Urban,38918045,37,5.5,39.1,14.4,0.4,96.78,190,NA,0.040001548,9.1,256.3727,253.7996328
2015,23,M,H,Pending,No Charges,shot,TRUE,FALSE,attack,Not fleeing,FALSE,Urban,38918045,37,5.5,39.1,14.4,0.4,96.78,190,NA,0.040001548,8.4,256.3727,253.7996328
2015,23,M,H,Pending,No Charges,shot,TRUE,FALSE,attack,Not fleeing,FALSE,Urban,38918045,37,5.5,39.1,14.4,0.4,96.78,190,NA,0.040001548,8.2,256.3727,253.7996328
2015,23,M,H,Pending,No Charges,shot,TRUE,FALSE,attack,Not fleeing,FALSE,Urban,38918045,37,5.5,39.1,14.4,0.4,96.78,190,NA,0.040001548,8.1,256.3727,253.7996328
2015,29,M,H,Pending,No Charges,shot and Tasered,TRUE,FALSE,attack,Foot,FALSE,Urban,2866939,48.8,8.9,28.8,8.3,0.9,337.72,19,637.37,0.057402511,11.8,28.5993,27.30927027
2015,29,M,H,Pending,No Charges,shot and Tasered,TRUE,FALSE,attack,Foot,FALSE,Urban,2866939,48.8,8.9,28.8,8.3,0.9,337.72,19,637.37,0.057402511,11.5,28.5993,27.30927027
2015,34,M,W,Unreported,No Charges,shot,TRUE,FALSE,attack,Foot,TRUE,Urban,2089291,37.4,1.8,48.8,1.3,8.8,506.56,20,1402.18,0.031379747,NA,17.285,17.21438111
2015,43,M,W,Pending,No Charges,shot,FALSE,TRUE,other,Not fleeing,FALSE,Rural,27470056,41.9,11.8,39.4,4.8,0.3,264.06,100,4.68,0.035660293,NA,112.8204,108.3504165
2015,24,M,B,Pending,No Charges,shot,FALSE,FALSE,attack,Not fleeing,FALSE,Urban,5482032,79.9,6.4,5.3,4.9,1,179.83,12,801.07,0.035246639,NA,71.5922,70.03410903
2015,29,M,W,Unreported,No Charges,shot,FALSE,FALSE,attack,Not fleeing,FALSE,Rural,6071732,79.4,11.4,4.2,2,0.3,145.38,21,NA,0.038281786,NA,89.7453,88.93445055
2015,34,M,B,Pending,No Charges,shot,TRUE,TRUE,attack,Not fleeing,FALSE,NA,8361808,61.7,18.8,9.3,6.4,0.2,426.9,18,560.29,0.033716461,NA,218.4403,214.4851861
2015,75,M,W,Pending,No Charges,shot,FALSE,FALSE,attack,Not fleeing,FALSE,Suburban,8867949,54.8,12.8,20.4,9.8,0.1,101.73,15,NA,0.037460144,NA,1215.1991,1224.591243
2015,68,M,W,Unreported,No Charges,shot,TRUE,FALSE,attack,Not fleeing,FALSE,Suburban,27470056,41.9,11.8,39.4,4.8,0.3,264.06,100,364.36,0.035660293,13.7,112.8204,108.3504165
2015,34,M,W,Unreported,No Charges,shot,FALSE,FALSE,attack,Not fleeing,TRUE,Suburban,2981835,78.3,1.2,14,2.4,1,313.36,10,506.99,0.030477735,22.6,39.943,37.74897164
2015,34,M,W,Unreported,No Charges,shot,FALSE,FALSE,attack,Not fleeing,TRUE,Suburban,2981835,78.3,1.2,14,2.4,1,313.36,10,506.99,0.030477735,9.3,39.943,37.74897164
2015,27,M,B,Unreported,No Charges,shot,TRUE,FALSE,attack,Foot,FALSE,Suburban,6608422,79.2,9.2,6.9,2.2,0.1,202.16,19,1215.76,0.024490984,NA,188.281,186.0888182
2015,39,M,B,Pending,No Charges,shot,TRUE,FALSE,attack,Not fleeing,FALSE,Suburban,5450623,68.2,3.9,21.5,3.1,0.6,206.75,29,681.27,0.03947737,NA,56.4011,54.1011752
2015,24,M,W,Pending,No Charges,shot,TRUE,TRUE,attack,Not fleeing,FALSE,Suburban,5482032,79.9,6.4,5.3,4.9,1,179.83,12,700.34,0.035246639,20.1,71.5922,70.03410903
2015,24,M,W,Pending,No Charges,shot,TRUE,TRUE,attack,Not fleeing,FALSE,Suburban,5482032,79.9,6.4,5.3,4.9,1,179.83,12,700.34,0.035246639,13.3,71.5922,70.03410903
2015,24,M,W,Pending,No Charges,shot,TRUE,TRUE,attack,Not fleeing,FALSE,Suburban,5482032,79.9,6.4,5.3,4.9,1,179.83,12,700.34,0.035246639,13.3,71.5922,70.03410903
2015,24,M,W,Pending,No Charges,shot,TRUE,TRUE,attack,Not fleeing,FALSE,Suburban,5482032,79.9,6.4,5.3,4.9,1,179.83,12,700.34,0.035246639,10.5,71.5922,70.03410903
2015,24,M,W,Pending,No Charges,shot,TRUE,TRUE,attack,Not fleeing,FALSE,Suburban,5482032,79.9,6.4,5.3,4.9,1,179.83,12,700.34,0.035246639,10.4,71.5922,70.03410903
2015,24,M,W,Pending,No Charges,shot,TRUE,TRUE,attack,Not fleeing,FALSE,Suburban,5482032,79.9,6.4,5.3,4.9,1,179.83,12,700.34,0.035246639,10.2,71.5922,70.03410903
2015,24,M,W,Pending,No Charges,shot,TRUE,TRUE,attack,Not fleeing,FALSE,Suburban,5482032,79.9,6.4,5.3,4.9,1,179.83,12,700.34,0.035246639,9.5,71.5922,70.03410903
2015,24,M,W,Pending,No Charges,shot,TRUE,TRUE,attack,Not fleeing,FALSE,Suburban,5482032,79.9,6.4,5.3,4.9,1,179.83,12,700.34,0.035246639,9.3,71.5922,70.03410903
2015,36,M,H,Unreported,No Charges,shot,FALSE,TRUE,other,Not fleeing,FALSE,Suburban,38918045,37,5.5,39.1,14.4,0.4,96.78,190,698.16,0.040001548,10.3,256.3727,253.7996328
