State,tot_pop_2017,hispanic_any,nh_white,nh_black,nh_asian,nh_american_indian,density_p_mi2_2020,tot_pop_2020,landArea_mi,density_p_mi2_2017,Year
KY,4454189,155163,3769995,355829,64381,6882,113.9566,4499692,39486,112.8042597,2019
LA,4684333,243620,2739086,1505991,83959,21942,107.5175,4645184,43204,108.423595,2019
ME,1335907,21899,1247090,15761,15141,8225,43.6336,1345790,30843,43.31313426,2019
MD,6052177,612709,3066146,1776692,389297,11879,626.6731,6083116,9707,623.485835,2019
MA,6859819,811292,4906564,477846,450311,9439,894.4355,6976597,7800,879.4639744,2019
MI,9962311,504398,7476534,1359264,306376,45421,177.6655,10045029,56539,176.202462,2019
MN,5576606,296666,4455056,356949,272228,53674,71.5922,5700671,79627,70.03410903,2019
MS,2984100,86035,1688447,1130323,27467,13240,63.7056,2989260,46923,63.59567803,2019
MO,6113532,255803,4854821,694270,123227,21332,89.7453,6169270,68742,88.93445055,2019
MT,1050493,38933,906221,4380,7182,62126,7.4668,1086759,145546,7.217601308,2019
NE,1920076,209917,1517634,87147,46837,12823,25.4161,1952570,76824,24.99317921,2019
NV,2998039,864663,1462301,265472,249834,27991,28.5993,3139658,109781,27.30927027,2019
NH,1342795,50393,1212790,18023,35602,1500,153.1605,1371246,8953,149.9826874,2019
NJ,9005644,1840433,4939479,1148321,882064,9074,1215.1991,8936574,7354,1224.591243,2019
NM,2088070,1018344,780688,38022,27514,182991,17.285,2096640,121298,17.21438111,2019
NY,19849399,3811654,10936578,2846481,1718948,41752,412.5211,19440469,47126,421.1984679,2019
NC,10273419,962466,6472902,2175617,293050,111317,218.2702,10611862,48618,211.3089596,2019
ND,755393,26479,637291,22830,12699,40745,11.0393,761723,69001,10.94756598,2019
OH,11658609,436762,9204374,1421030,256437,17866,287.5038,11747694,40861,285.3236338,2019
OK,3930864,417708,2576937,283068,84404,288580,57.6547,3954821,68595,57.30540127,2019
OR,4142776,540924,3132752,74345,180042,38855,44.8086,4301089,95988,43.15931158,2019
