State,total_expenditure,intergovernmental_expenditure,direct_total_expenditure,ele_sec_education_expenditure,higher_education_expenditure,public_welfare_expenditure,health_hospitals_expenditure,highways_expenditure,police_expenditure,other_expenditure,exh_pop_by_thousands,Year
DC,19053.123,0,19053.123,3999.2339,179.10538,5648.811,949.94186,654.21717,910.32082,6711.4926,695.691,2017
MD,10045.891,0,10045.891,2273.5253,1041.7279,2191.2128,359.22127,559.57278,443.0027,3177.6281,6024.891,2017
NJ,10483.765,1.8563222,10481.909,3067.5729,838.97271,1990.7007,614.20044,561.45231,400.77345,3008.2362,8888.543,2017
NY,14381.448,0,14381.448,3517.0334,723.80253,3591.1476,1228.8098,623.76705,529.91006,4166.9776,19590.719,2017
PA,10111.517,9.7837081,10101.733,2309.0259,867.13748,2680.169,782.58227,765.13174,302.44322,2395.2438,12790.447,2017
Great Lakes,8884.1525,0.64545023,8883.5071,1918.4648,930.24169,2028.7213,695.53109,589.44894,316.49336,2404.6058,46878.905,2017
IL,9168.844,0.45072045,9168.3933,2079.6025,719.5244,1773.4379,410.96359,731.05426,413.14188,3040.6688,12786.196,2017
IN,7961.4281,0.31906514,7961.109,1534.4765,965.04142,2093.6888,793.78602,366.9144,200.14558,2007.0564,6660.082,2017
MI,8528.7205,0.53806731,8528.1824,1747.504,1188.9293,1712.8999,946.04973,429.12071,255.29259,2248.3862,9976.447,2017
OH,9202.1769,1.4576313,9200.7192,2086.8335,845.85484,2460.1742,738.7805,519.9723,326.81146,2222.2925,11664.129,2017
WI,9288.4602,0,9288.4602,1959.6875,1079.7603,2192.6822,692.1467,948.80276,321.55777,2093.8229,5792.051,2017
Plains,9332.4143,3.9095968,9328.5047,2076.1855,999.09734,1863.2279,956.63875,759.62237,301.02133,2372.7115,21277.13,2017
IA,9864.4758,0,9864.4758,2125.6424,1230.4051,1797.3262,1378.8415,874.56949,258.68636,2199.0048,3143.637,2017
KS,9251.56,0.0213008,9251.5387,2070.3462,1199.414,1421.897,1456.5191,660.81914,296.25254,2146.2908,2910.689,2017
MN,10599.982,0.06249826,10599.92,2335.5332,1022.482,2679.0537,585.62594,863.92351,355.66988,2757.6316,5568.155,2017
MO,7725.7018,5.0599056,7720.6419,1708.0258,651.39528,1541.2374,1074.662,387.71181,296.20952,2061.4002,6108.612,2017
NE,9203.6489,27.047703,9176.6012,2455.1895,1233.1163,1475.039,704.15916,820.76842,259.58202,2228.7467,1917.575,2017
ND,12842.03,0,12842.03,2393.3441,1473.7293,2033.5644,362.056,2296.5031,306.57886,3976.2545,755.176,2017
SD,8091.174,0,8091.174,1732.7691,857.54152,1327.0532,379.29498,1148.3363,240.71381,2405.4651,873.286,2017
Southeast,7894.1482,0.002259,7894.146,1623.1667,765.9952,1639.2817,922.44081,505.2814,308.93646,2129.0437,83665.407,2017
AL,8515.5961,0,8515.5961,1611.083,1048.5795,1740.2987,1466.9906,519.59234,261.42454,1867.6275,4875.12,2017
AR,8226.2546,0.05827512,8226.1964,1709.0946,877.43644,2476.7391,509.96721,690.93376,223.56965,1738.4556,3002.997,2017
FL,7345.8114,0,7345.8114,1351.4855,524.8708,1338.685,727.93974,537.31287,405.6585,2459.859,20976.812,2017
GA,6871.5238,0,6871.5238,1908.0761,577.48672,1167.5707,678.26368,418.04418,262.10512,1859.9773,10413.055,2017
KY,8846.7891,0,8846.7891,1643.9632,1005.7655,2570.0096,764.6871,528.81065,186.20239,2147.3506,4453.874,2017
LA,9144.6967,0,9144.6967,1730.8975,744.63038,2421.2072,697.82766,514.82588,352.27191,2683.0362,4670.818,2017
MS,8748.1847,0,8748.1847,1545.6966,1010.2677,2130.4542,1458.9678,578.46754,256.63896,1767.6919,2989.663,2017
NC,7847.7889,0,7847.7889,1464.7849,990.68261,1472.5679,1347.9984,473.83943,312.69054,1785.2251,10270.8,2017
SC,8614.0891,0,8614.0891,1796.0465,884.95045,1589.806,1621.1181,456.63931,261.44388,2004.0849,5021.219,2017
TN,6918.3031,0,6918.3031,1459.0342,559.24269,1745.4194,717.88834,333.71393,295.0502,1807.9543,6708.794,2017
VA,8704.9536,0.00165383,8704.9519,2081.2545,968.55328,1420.82,893.62221,582.00006,297.96519,2460.7368,8465.207,2017
WV,9011.9078,0,9011.9078,1706.1883,973.81357,2763.1521,422.44784,675.76476,217.16653,2253.3747,1817.048,2017
Southwest,7851.813,1.3907077,7850.4223,1792.3724,1047.4596,1581.7722,738.33856,524.48346,300.72155,1865.2746,41397.628,2017
AZ,6838.1539,0,6838.1539,1169.5246,858.55816,2057.8055,225.75684,357.11367,354.95205,1814.443,7048.876,2017
NM,10206.75,0,10206.75,1774.0613,1279.9797,2886.4147,872.9676,431.70209,337.2942,2624.3303,2093.395,2017
OK,7473.0443,14.63953,7458.4048,1462.9371,1043.2503,1722.5347,581.5943,660.05279,265.99053,1722.045,3932.64,2017
TX,7982.6234,0,7982.6234,1994.4808,1077.8712,1347.3243,877.72179,554.17169,289.3441,1841.7095,28322.717,2017
Rocky Mountain,8807.1085,2.0742426,8805.0343,1744.0308,1162.7631,1481.9921,790.79413,621.89945,297.478,2706.0767,12069.948,2017
CO,8959.6784,0.35898062,8959.3194,1771.6976,1148.8546,1487.1917,646.98155,582.10435,330.23671,2992.2529,5615.902,2017
ID,6765.9357,0,6765.9357,1282.5836,655.54388,1467.4258,543.10305,514.32541,263.86058,2039.0935,1718.904,2017
MT,8967.1557,0,8967.1557,1770.24,923.05121,2121.0058,494.05844,802.03686,299.37707,2557.3864,1053.09,2017
UT,8378.5679,0.00032226,8378.5676,1650.8128,1473.6114,1261.7928,928.21317,589.50707,239.48042,2235.1499,3103.118,2017
WY,15393.404,39.761009,15353.643,3297.7058,1573.5334,1492.7073,2724.4453,1173.2771,386.93357,4705.0406,578.934,2017
Far West [2],11116.193,53.540262,11062.653,2063.984,1023.5811,2571.0339,1277.3535,446.32447,442.45177,3237.924,53943.778,2017
CA,11633.577,73.261185,11560.316,2116.1967,1052.7169,2839.9797,1335.0837,394.2292,486.55606,3335.5538,39399.349,2017
NV,7384.3218,0.57899243,7383.7428,1558.2483,504.10795,1317.0439,495.44292,682.82149,426.90246,2399.1758,2972.405,2017
OR,10807.363,0,10807.363,1828.4456,1151.9506,2530.8612,1049.2154,511.74338,330.98723,3404.1594,4146.592,2017
WA,10037.281,0,10037.281,2120.9213,1005.2467,1668.4135,1411.4352,591.54013,276.90402,2962.8206,7425.432,2017
AK,17198.202,0,17198.202,3172.3458,1145.3907,3483.2695,917.98709,1909.4035,493.79821,6076.0071,739.786,2017
HI,9834.3488,0.26822019,9834.0805,1452.5577,847.21981,2166.6244,850.09651,423.07241,338.36258,3756.1471,1424.203,2017
