Year,State,County,Count,officer_10k,crime_10k,pop_diversity,black_pop_perc,urbanization_index,firearm_fatalities_100k,population,pop_density,male_perc,age_20_45_perc,Official_action_taken
2015,DE,New Castle,2,43.4,NA,56.63,24.7,95.4,339.5,553488,1298.38,48.45,33.69,0
2015,FL,Alachua,1,22,193.61,54.72,20.4,78.81,124,259052,296.05,48.4,42.44,0
2015,FL,Bay,1,NA,300.43,37.15,11.2,88,165.25,181488,239.28,49.8,33.13,0
2015,FL,Brevard,4,13.7,176.55,39.58,10.6,94.93,457.5,565746,557.02,48.88,26.64,0
2015,FL,Broward,5,17.85,11.78,67.82,28.5,99.98,871.25,1885040,1558.15,48.67,33,0
2015,FL,Collier,1,NA,270.52,50.56,7.1,91.51,143.25,356041,178.17,49.32,24.78,0
2015,FL,Duval,5,NA,NA,59.13,30,97.09,876,910578,1194.69,48.52,36.05,0
2015,FL,Hernando,1,NA,370.2,33.13,5.5,80.62,128.75,177900,376.48,47.91,24.66,0
2015,FL,Hillsborough,3,26.3,221.94,62.64,17.4,96.49,745,1364073,1337.05,48.8,35.63,0
2015,FL,Lake,2,NA,181.7,43.76,10.5,80.75,208.25,325154,346.51,48.42,26.34,0
2015,FL,Lee,1,12.8,206.18,46.77,9,94.18,466.5,699644,891.82,48.97,26.45,0
2015,FL,Leon,2,18.7,NA,56,31.4,87.69,159.75,285904,428.74,47.55,42.04,50
2015,FL,Manatee,1,NA,338.06,44.02,9.3,94.21,259,362548,488,48.35,25.84,0
2015,FL,Miami-Dade,14,23.34,313.63,51,19,99.6,1468.25,2659839,1401.6,48.58,35.01,0
2015,FL,Okaloosa,1,NA,364.27,41.52,9.9,87.9,142.5,197748,212.58,50.77,35.14,0
2015,FL,Orange,3,26,445.48,67.12,22,97.96,688,1291301,1429.33,49.07,39.03,0
2015,FL,Palm Beach,2,20.87,203.42,58.49,18.5,98.96,871.75,1424256,723.06,48.46,29.05,50
2015,FL,Pinellas,1,19.43,130.28,40.49,10.8,99.72,636,947060,3458.95,48,27.98,0
2015,FL,Polk,2,21.4,213.46,54.45,15.6,86.49,347.5,648523,360.72,49,30.46,0
2015,FL,Putnam,1,NA,320.15,44.52,16.5,43.84,73.75,71939,98.87,49.38,26.47,0
2015,FL,Saint Johns,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2015,FL,Santa Rosa,1,NA,202.11,30.28,6.5,79.01,121.25,166226,164.32,51.28,32.67,0
2015,FL,Sarasota,1,15.2,NA,28.41,5,95.68,267,404761,728.16,47.77,21.48,0
2015,FL,St. Johns,1,NA,197.55,27.84,5.7,76.23,154,226362,376.86,48.79,28.09,0
2015,FL,St. Lucie,2,NA,114.44,56.85,20,96.64,202.75,297282,519.79,48.84,27.82,0
2015,FL,Volusia,3,24.8,149.62,42.08,11,90.06,400.5,516730,469.32,48.77,27.73,0
2015,FL,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2015,GA,Bartow,2,NA,484.91,35.77,10.8,64.77,75.25,102043,222.05,49.28,32.48,0
2015,GA,Calhoun,1,NA,NA,51,61.4,0,43.5,6534,23.3,59.96,38.23,0
2015,GA,Carroll,1,NA,247.12,43.9,18.7,58.17,73.5,114461,229.34,48.87,35.11,0
2015,GA,Chatham,2,22.9,NA,58.37,40.2,95.5,305,285959,670.57,48.26,37.35,0
2015,GA,Cobb,2,18.95,1.64,60.96,26.7,99.75,383,739052,2176.56,48.34,35.57,0
2015,GA,Coffee,1,NA,NA,55.37,28,33.42,38.5,42987,74.75,51.12,34.89,0
2015,GA,Decatur,1,NA,NA,55.69,41.4,43.52,26,27049,45.3,48.7,31.03,0
2015,GA,Dekalb,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50
2015,GA,Douglas,1,NA,NA,59.72,42.5,84.24,67.25,140173,700.62,47.69,33.58,0
2015,GA,Effingham,1,NA,166.1,33.6,13.9,32.95,40.25,57076,119.48,49.6,33.52,0
2015,GA,Fulton,2,17.86,0.37,62.69,44.4,98.92,779.5,1005127,1908.57,48.39,38.45,0
