"word","freq"
"rico",2
"right",2
"river",2
"riverside",2
"roberto",2
"rode",2
"roman",2
"romrell",2
"rosario",2
"roughly",2
"routine",2
"ruben",2
"ruizzazueta",2
"ryan",2
"saavedra",2
"safely",2
"safeway",2
"salinas",2
"santiago",2
"santoro",2
"sarabia",2
"schizophrenic",2
"segura",2
"semiautomatic",2
"series",2
"service",2
"seton",2
"seven",2
"shirtless",2
"shocked",2
"shootout",2
"shovel",2
"sidewalk",2
"sign",2
"sillas",2
"silva",2
"since",2
"site",2
"sky",2
"slashing",2
"slightly",2
"slowly",2
"small",2
"smith",2
"sometime",2
"soria",2
"soto",2
"southwest",2
"sparks",2
"specific",2
"speeding",2
"spent",2
"spike",2
"spokesman",2
"springs",2
"stairs",2
"start",2
"stay",2
"stealing",2
"stepped",2
"stick",2
"stood",2
"strands",2
"streets",2
"strips",2
"stuck",2
"suarezruiz",2
"suazo",2
"suites",2
"sumner",2
"suspicion",2
"suspiciously",2
"swung",2
"taco",2
"tapia",2
"target",2
"teen",2
"teenager",2
"tempe",2
"terminated",2
"texas",2
"thats",2
"things",2
"threadgill",2
"throughout",2
"thursday",2
"tire",2
"tires",2
"top",2
"torso",2
"tracking",2
"trafficking",2
"transaction",2
"traveling",2
"trouble",2
"trucks",2
"try",2
"ulloa",2
"unable",2
"uncertain",2
"undisclosed",2
"unharmed",2
"union",2
"unsuccessfully",2
"uolla",2
"vacant",2
"vale",2
"vandalism",2
"vartanian",2
"vasquez",2
"verbal",2
"verbally",2
"version",2
"via",2
"victor",2
"villagomez",2
"villanueva",2
"violated",2
"waiting",2
"wallaceflores",2
"wasnt",2
"waved",2
"wayne",2
"weeks",2
"welfare",2
"whod",2
"whose",2
"wichita",2
"wilhelm",2
"windshield",2
"wooded",2
"working",2
"wrapped",2
"wrong",2
"xavier",2
"yard",2
"yucca",2
"zaporta",2
"abducted",1
"abe",1
"abel",1
"abiel",1
"abreu",1
"abrupt",1
"abuse",1
"accord",1
"account",1
"acosta",1
"acquisto",1
"acres",1
"act",1
"actual",1
"adalberto",1
"adam",1
"adams",1
"address",1
"adjacent",1
"administration",1
"admit",1
"admitted",1
"adrian",1
"adultsu",1
"advance",1
"affected",1
"afternoon",1
"age",1
"ages",1
"aguero",1
"aimed",1
"airline",1
"airport",1
"airsoft",1
"ajar",1
"alamodome",1
"alan",1
"alarm",1
"albert",1
"alberto",1
"alegre",1
"alek",1
"alex",1
"alexander",1
"alhambra",1
"alires",1
"alive",1
"allegations",1
"allege",1
"alleging",1
"allen",1
"allgedly",1
"almarez",1
"alphonso",1
"alta",1
"alvaradomorales",1
"alvaro",1
"alyssa",1
"amanda",1
"amarillo",1
"america",1
"amiliano",1
"anaya",1
"ancira",1
"andahalfyearold",1
"andy",1
"angry",1
"antigang",1
"anything",1
"apd",1
"apex",1
"apodaca",1
"apparent",1
"appearing",1
"april",1
"aquino",1
"arce",1
"areanda",1
"arebalo",1
"argue",1
"argueta",1
"argumentative",1
"ariz",1
"armor",1
"armpit",1
"arms",1
"army",1
"arnaldo",1
"arrests",1
"arroliga",1
"arson",1
"arstyle",1
"art",1
"artesia",1
"arturo",1
"arvizu",1
"asleep",1
"assaultlike",1
"assaults",1
"assigned",1
"assisting",1
"associated",1
"astate",1
"asuncion",1
"atencio",1
"atkins",1
"attempts",1
"attended",1
"attention",1
"attic",1
"auagun",1
"auataser",1
"auburn",1
"audrey",1
"augustine",1
"authoritiesrrn",1
"autozone",1
"available",1
"ave",1
"avenia",1
"avenues",1
"averaging",1
"avoid",1
"avondale",1
"ayer",1
"babette",1
"background",1
"backward",1
"bakersfield",1
