Year,State,Count,Victim_median_Age,Population,Black_pop_perc,Firearm_10k,pop_density,pop_diversity,official_action_taken,Urbanization_Index,Male_pop_perc,State_median_age,State_median_age20_45_perc,Crime_10k,Pol_frac_total
2017,OH,34,33.5,11659650,12.2,150.79,286.41,36,0,77.9,49,39.4,32.69222978,823.69,3.551
2017,OK,26,38,3931316,7.2,211.41,57.48,55,3.85,66.2,49,36.66666667,34.11275746,878.67,3.559
2017,OR,12,28.5,4143625,1.8,180.33,43.98,41,0,81,49,39.4,35.05904864,845.49,3.063
2017,PA,23,43,12787641,10.7,212.26,286.37,40,0,78.7,49,40.76666667,32.43084592,642.84,2.991
2017,RI,1,32,1055673,5.4,44.1,1023.11,45,0,90.7,49,40.03333333,33.71125337,766.51,4.164
2017,SC,12,35,5021268,26.8,197.72,170.23,52,0,66.3,48,39.56666667,32.80748423,1048.66,3.035
2017,SD,3,48,872868,1.9,356.69,11.69,31,0,56.7,50,37.1,32.51578411,895.1,2.975
2017,TN,27,36.5,6708799,16.6,180.57,165.07,42,0,66.4,48,38.83333333,33.87396794,761.04,4.265
2017,TX,69,35.5,28295273,11.8,256.36,110.59,65,1.45,84.7,49,34.73333333,36.38922685,692.13,3.625
2017,UT,7,36,3101042,1.2,301.32,38.85,37,0,90.6,50,31,37.63630644,1193.53,2.858
2017,VA,23,33.5,8463587,18.8,421.76,216.46,57,0,75.5,48,38.36666667,34.3376332,518.58,3.423
2017,VT,1,32,624344,1.2,123.59,67.9,14,0,38.9,49,42.9,31.4690001,NA,2.972
2017,WA,38,33.5,7423362,3.5,161.42,114.38,50,0,84.1,50,37.7,35.62476784,973.08,2.759
2017,WI,24,34.5,5790186,6.3,137.54,107.53,33,0,70.2,50,39.56666667,32.6942181,662.46,3.462
2017,WV,11,30,1817004,3.9,229.23,74.76,15,0,48.7,49,42.66666667,31.56203624,995.47,2.41
2017,WY,1,49,578931,0.9,2315.47,5.9,28,0,64.8,51,37.9,33.532644,765.33,2.514
2018,AK,7,30,735139,2.9,279.13,1.29,60,0,66,51,34.6,35.76626222,1002.7,2.8
2018,AL,13,49,4887681,26.7,344.26,96.59,50,0,NA,48,39.2,32.98159173,1020.61,3.1
2018,AR,21,36,3009733,15.2,361.5,58.07,45,0,56.2,49,38.3,33.13964422,1100.69,2.8
2018,AZ,62,39,7158024,4.1,286.14,63.36,60,0,89.8,49,37.9,33.90277957,769.43,5.1
2018,CA,114,33,39461588,5.5,95.45,255.09,69,0,95,49,36.8,36.44622418,628.36,4
2018,CO,44,36,5691287,3.9,198.01,55.25,49,0,86.2,50,36.9,36.95513944,830.26,3.8
2018,CT,1,45,3571520,9.9,209.65,738.46,52,0,88,49,41,32.18965548,302.97,3.5
2018,DC,1,22,701547,45.3,852.86,11595.57,65,0,100,47,34,46.79623958,1042.23,4.7
2018,FL,64,38,21244317,15.4,203.62,400.72,62,1.56,91.2,49,42.2,32.09270482,730.51,5.4
2018,GA,44,33,10511131,31.1,215,184.01,62,0,75.1,48,36.9,34.86093236,994.52,3.8
2018,HI,11,39.5,1420593,1.6,61,221.1,80,0,91.9,49,39.2,32.59280049,NA,3.4
2018,IA,9,29,3148618,3.3,116.05,56.62,26,0,64,50,38.2,32.88310061,NA,2.6
2018,ID,13,34,1750536,0.6,335.88,21.44,31,0,70.6,50,36.6,33.34894104,420.41,3.8
2018,IL,20,35,12723071,14,116.09,229.31,57,0,88.5,49,38.3,34.50741874,650.01,4.5
2018,IN,18,39,6695497,9.2,199.53,187.18,36,0,72.4,49,37.9,33.6257732,797.18,2.5
2018,KS,7,35,2911359,5.5,186.89,35.61,41,14.29,74.2,49,36.9,33.40215508,602.91,3.2
2018,KY,20,39.5,4461153,8,210.08,113.38,28,0,58.4,49,38.9,33.15764285,522.33,2
2018,LA,15,32,4659690,32.1,249.8,107.97,55,0,73.2,48,37.2,34.36865009,1347.85,3.9
2018,MA,3,43,6882635,7,57.95,886.95,47,0,92,49,39.4,34.79009919,380.95,3.3
2018,MD,12,31.5,6035802,29.4,212.55,625.08,64,0,87.2,48,38.8,33.69231618,1268.04,4.5
